"Age","Address","Family.size","Parent.s.cohabition.status","Mother.s.education","Guardian","Time.from.home.to.school","Weekly.study.time","Number.of.past.class.failures","Extra.educational.support","Family.educational.support","Extra.paid.class","Extra.curricular.activity","Attended.nursery.school","Aims.for.higher.education","Internet.access","In.romantic.relationship","Evaluation.for.family.relationship","Evaluation.for.free.time.after.school","Frequent.going.out.with.friends","Current.health.status","Number.of.school.absences","Average.result"
16,"R","GT3","T","4","mother","1","1","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","5","5","4",8,18
15,"R","GT3","T","3","father","2","3","2","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","2","2","5",0,4
15,"U","GT3","T","1","mother","3","1","0","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","4","3","3","4",0,2.66666666666667
17,"U","LE3","T","2","father","1","1","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","3","4","4","5",12,11.6666666666667
16,"U","GT3","A","3","father","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","3","2","1","5",16,11.3333333333333
15,"R","GT3","T","3","mother","4","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","5","3","3","5",0,3
15,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","3","5",0,3.66666666666667
17,"R","GT3","T","3","mother","3","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","5","4","5","5",0,3.33333333333333
16,"U","GT3","A","3","other","2","1","2","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","4","3","2","5",0,1.33333333333333
16,"U","LE3","T","1","mother","1","2","1","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","4","4","4","5",0,12.6666666666667
15,"U","GT3","T","4","mother","2","1","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","2","5",0,15.6666666666667
15,"U","GT3","T","4","father","2","4","0","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","2","2","2","3",0,5.33333333333333
16,"U","LE3","T","2","father","2","1","2","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","2","3","3","2",8,9
15,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","2","5",2,10.3333333333333
16,"U","LE3","T","1","mother","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","3","4","4","1",2,13.6666666666667
17,"U","GT3","T","2","mother","1","1","3","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","4","5","5",0,1.66666666666667
15,"U","GT3","T","1","father","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","2","5",0,10
15,"U","GT3","T","3","father","1","2","3","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","3","3","2","3",0,4.33333333333333
15,"U","GT3","T","1","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","4","3","2","5",2,10.6666666666667
16,"U","GT3","T","4","mother","1","1","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","3","3","2","5",0,4.33333333333333
15,"U","LE3","A","2","mother","4","1","3","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","5","5","5",0,9
18,"U","LE3","T","1","mother","1","1","3","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","2","3","5","4",0,3.66666666666667
16,"U","LE3","T","2","mother","1","1","1","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","4","4","4","5",6,13
15,"R","GT3","T","3","other","2","3","2","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","2","1","3",8,10
19,"U","GT3","T","3","mother","1","1","3","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","4","5","4","4",0,1.66666666666667
17,"U","GT3","T","4","mother","1","1","0","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","4","2","1","4",0,11.3333333333333
15,"R","GT3","T","2","mother","1","2","0","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","4","4","4","1",2,9
17,"R","LE3","T","1","mother","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","2","2","2","5",8,13.6666666666667
18,"R","GT3","T","1","mother","3","1","3","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","5","2","5","4",6,9
16,"R","GT3","T","2","mother","3","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","4","2","2","3",2,15.6666666666667
16,"U","GT3","T","3","father","1","2","1","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","5","5","5",4,11.3333333333333
17,"R","LE3","T","2","mother","2","1","2","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","3","3","2","5",0,4.33333333333333
15,"R","GT3","T","3","mother","2","2","2","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","4","4","3",6,7
16,"U","LE3","T","1","mother","2","1","1","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","4","4","4","5",0,2.33333333333333
17,"U","GT3","T","1","father","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","5","3","3","2",2,10
17,"R","LE3","T","1","mother","4","2","3","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","5","3","5","5",0,6.66666666666667
16,"U","GT3","T","3","mother","2","1","1","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","4","5","2","2",16,11.6666666666667
16,"U","GT3","T","2","father","1","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","4","3","5","4",4,10
16,"U","GT3","T","4","father","1","2","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","2","3","3",0,15
16,"U","GT3","T","2","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","5","1","5","4",0,4.33333333333333
16,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","4","2","3",0,14
16,"U","GT3","T","3","father","3","1","2","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","3","4","5","2",0,3.66666666666667
16,"U","GT3","T","1","mother","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","2","3",2,14.6666666666667
17,"U","LE3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","4","5",0,11.3333333333333
16,"U","GT3","T","1","mother","1","2","3","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","4","3","5","3",0,5
16,"U","LE3","T","3","mother","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","5","4",4,10
17,"U","LE3","T","4","mother","2","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","4","4",4,9.33333333333333
16,"U","GT3","T","2","mother","2","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","3","4","4","5",2,12.3333333333333
17,"U","GT3","T","3","father","1","2","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","4","3","4","4",4,5.66666666666667
16,"R","GT3","T","4","mother","1","1","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","3","3",10,9
17,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","5","2","3","2",4,10.3333333333333
16,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","4","3","3",10,8.33333333333333
16,"U","GT3","T","3","mother","1","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","2","3","3",2,12.3333333333333
17,"U","GT3","T","2","father","1","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","5","4","2","5",0,16.6666666666667
17,"U","LE3","T","3","mother","1","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","5","3","3","1",56,8.66666666666667
16,"U","GT3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","1","2","2","1",14,12.3333333333333
17,"U","GT3","T","3","mother","1","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","4","4",12,11.6666666666667
16,"U","GT3","T","1","mother","1","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","3","3","3","3",2,11.3333333333333
16,"U","LE3","T","2","mother","1","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","2","3","5",0,15
17,"U","GT3","A","3","mother","1","2","0","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","3","3","3","3",6,8
17,"R","GT3","T","1","mother","1","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","3","1","3","3",4,9
16,"U","GT3","T","2","mother","1","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","2",10,12
17,"U","GT3","T","1","mother","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","3","3","3",0,8.33333333333333
17,"U","GT3","T","1","other","2","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","4","4","4","5",12,7.66666666666667
16,"R","GT3","T","3","mother","1","1","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","2","5",8,9
16,"U","GT3","T","2","father","2","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","3","3","3",0,13.6666666666667
17,"U","LE3","T","2","father","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","2","5",0,14.6666666666667
17,"U","GT3","T","4","mother","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","2","3","5",4,16
16,"R","LE3","T","3","father","3","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","3","4","3",8,9.33333333333333
17,"U","GT3","T","4","mother","2","1","1","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","2","4","2",24,18
16,"U","LE3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","5","2","3",0,9.33333333333333
16,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","5","2",2,16
16,"U","GT3","T","2","mother","1","2","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","4","4","3","4",6,9.33333333333333
17,"U","GT3","T","1","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","4","4","4","1",4,9.33333333333333
17,"R","GT3","T","2","mother","1","1","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","3","2","3",18,6.33333333333333
16,"R","GT3","T","2","mother","2","4","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","5","3","5","5",6,10.3333333333333
17,"U","GT3","T","3","mother","1","3","1","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","4","3","5",28,9.33333333333333
16,"U","GT3","A","3","mother","1","2","3","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","2","3","3","4",5,7
16,"U","GT3","T","4","mother","1","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","1","3","2","1",10,12
16,"U","GT3","T","1","mother","2","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","4","3","2","5",6,9.33333333333333
17,"R","GT3","T","4","mother","2","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","4","2","4",6,7
19,"U","GT3","T","3","other","1","4","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","3",10,8
17,"U","LE3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","3","5","3",13,12.3333333333333
16,"U","GT3","A","2","mother","1","2","0","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","3","3","4","4",0,13
18,"U","GT3","T","2","mother","1","2","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","4","5",15,7
17,"R","LE3","T","4","mother","1","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","2","1","3",12,9.33333333333333
17,"U","LE3","T","3","mother","2","2","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","1",2,14.6666666666667
17,"U","GT3","T","4","mother","1","2","2","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","3","4","5","1",22,5.33333333333333
18,"U","LE3","T","3","father","1","2","1","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","3","2","4","4",13,6.66666666666667
17,"U","GT3","T","2","father","2","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","3","3","3","3",3,7.33333333333333
17,"U","GT3","T","2","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","4",4,9.66666666666667
17,"R","GT3","T","2","mother","2","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","5","5",2,6
17,"U","GT3","T","1","mother","1","3","1","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","4","3","4","5",0,3.66666666666667
16,"U","GT3","T","2","mother","1","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","2","3","1","3",2,16.3333333333333
18,"U","GT3","T","2","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","3","3","3","4",0,12.6666666666667
16,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","5","3","2","5",0,13.3333333333333
18,"R","GT3","T","3","mother","1","2","1","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","5","3","3","4",16,8
17,"U","GT3","T","3","mother","1","2","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","5","3","4","3",10,15.3333333333333
17,"U","LE3","T","2","father","1","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","5","3","3","3",2,11.6666666666667
18,"U","LE3","T","2","mother","4","2","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","2","3",14,9
17,"U","GT3","A","2","mother","2","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","3","2","3","3",10,11.3333333333333
17,"U","LE3","T","4","father","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","3","2","3","3",14,13.3333333333333
17,"R","GT3","T","2","father","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","5","2","1",4,11
17,"U","GT3","T","4","mother","1","2","0","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","5","5","2",14,9.66666666666667
16,"U","GT3","T","4","father","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","4","1",2,13.3333333333333
16,"U","LE3","T","1","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","3","4","2","5",18,7.33333333333333
16,"U","GT3","T","3","mother","2","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","5","3","3","2",10,10
17,"U","LE3","T","2","father","1","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","4","4","2","4",4,13.3333333333333
16,"U","GT3","T","2","mother","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","5","2","5",20,12.3333333333333
17,"R","GT3","T","2","mother","3","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","2","1","1","3",2,11.6666666666667
18,"U","GT3","T","2","father","1","2","1","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","5","5","4","2",0,4.66666666666667
17,"U","LE3","T","4","mother","2","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","2","5","5","5",14,12
17,"R","LE3","A","4","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","3","3","3","4",2,11
16,"U","LE3","T","4","mother","1","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","5","4","5","3",0,2
16,"U","GT3","T","4","mother","1","1","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","3","2","5",0,12.3333333333333
18,"U","GT3","T","2","other","2","3","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","4","4","4","3",0,2.33333333333333
16,"U","GT3","T","2","mother","3","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","4",6,18
17,"U","GT3","T","2","father","2","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","2","2","2",4,12.3333333333333
22,"U","GT3","T","3","mother","1","1","3","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","5","4","5","1",16,7.33333333333333
18,"R","LE3","T","3","mother","1","2","1","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","3","3","5",8,4.33333333333333
16,"U","GT3","T","0","mother","1","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","4","3","2","5",0,14.3333333333333
18,"U","GT3","T","3","mother","2","1","1","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","4","4","5","5",0,7.33333333333333
16,"U","GT3","T","3","other","3","2","0","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","5","3","3","2",6,9
18,"U","GT3","T","2","mother","1","1","1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","3","2","5","5",4,7.66666666666667
16,"R","GT3","T","2","mother","2","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","3","3","2","3",0,8.33333333333333
17,"R","GT3","T","2","mother","1","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","4","4","2","5",0,10.6666666666667
17,"U","LE3","T","1","mother","2","1","1","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","4","5",2,8
17,"U","LE3","T","4","mother","1","4","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","3","4",6,13
19,"U","LE3","A","4","mother","1","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","1","1",12,11
18,"U","GT3","T","2","mother","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","2","4","4",8,14.3333333333333
17,"U","LE3","T","2","father","1","4","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","3","4","1","2",0,6.33333333333333
18,"U","GT3","T","4","father","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","3","1","2","2",21,17.6666666666667
18,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","4","3","2","3",2,8
