"Age","Address","Family.size","Parent.s.cohabition.status","Mother.s.education","Guardian","Time.from.home.to.school","Weekly.study.time","Number.of.past.class.failures","Extra.educational.support","Family.educational.support","Extra.paid.class","Extra.curricular.activity","Attended.nursery.school","Aims.for.higher.education","Internet.access","In.romantic.relationship","Evaluation.for.family.relationship","Evaluation.for.free.time.after.school","Frequent.going.out.with.friends","Current.health.status","Number.of.school.absences","Average.result"
18,"R","GT3","T","3","mother","1","3","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","5","3","2","3",1,12.3333333333333
17,"U","GT3","T","3","mother","1","3","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","3","2","3","4",4,9.33333333333333
18,"U","GT3","T","2","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","3","3",0,6.33333333333333
18,"R","LE3","A","3","mother","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","5","1",13,17
17,"U","GT3","T","3","mother","1","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","5","4","4","5",2,9.33333333333333
18,"R","GT3","T","4","mother","2","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","4","4",8,11
18,"U","GT3","T","4","father","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","5","4","5","5",10,9.66666666666667
18,"R","GT3","T","2","mother","2","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","4","3","5","3",0,2
19,"U","GT3","T","3","other","1","2","2","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","5","5",15,9
18,"U","GT3","T","2","father","1","4","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","5","5","2",4,14.3333333333333
18,"U","LE3","T","1","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","4","4","3","3",2,11
17,"R","GT3","T","1","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","3","5","2","1",2,14.3333333333333
17,"U","GT3","T","2","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","3","3","1",2,10
17,"U","LE3","T","2","mother","2","2","0","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","4","4","5",6,12
18,"R","GT3","A","3","mother","2","2","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","4","1","1","5",75,9.33333333333333
18,"U","GT3","T","4","mother","2","1","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","2","4","3",22,9
18,"U","GT3","T","4","father","1","2","1","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","2","4","4","4",15,8.33333333333333
18,"U","LE3","T","4","mother","2","1","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","3","1",8,10.3333333333333
17,"U","LE3","A","4","mother","2","1","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","5","4","5",30,8
17,"U","LE3","A","3","mother","1","1","1","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","3",19,10
18,"R","LE3","T","1","mother","2","4","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","5","2","2","3",1,12
18,"U","GT3","T","1","mother","2","2","0","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","4","4",4,9
17,"U","GT3","T","2","mother","1","2","0","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","5","4","5","5",4,10
17,"U","GT3","T","1","father","1","2","0","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","4","3","3","4",2,11
18,"U","GT3","T","2","mother","1","3","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","2",5,18.3333333333333
17,"U","GT3","T","1","mother","1","3","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","3",6,12.3333333333333
18,"U","GT3","T","2","mother","1","3","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","2","4","2",6,14.3333333333333
18,"U","LE3","A","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","3","2",9,14.3333333333333
18,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","2","5",11,11.3333333333333
17,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","2","2","3",0,15
18,"U","LE3","T","2","mother","1","2","1","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","5","4","3","5",12,12.3333333333333
17,"R","LE3","T","3","mother","2","4","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","3","1","2","3",6,18
18,"R","LE3","T","3","mother","2","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","2","4",8,13.6666666666667
17,"U","GT3","T","3","mother","1","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","3","5",4,12.3333333333333
19,"U","GT3","T","4","other","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","2","3","4","2",0,6.33333333333333
18,"U","LE3","T","4","other","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","4","5","2",10,8.66666666666667
18,"U","GT3","T","4","father","1","4","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","3",0,13.6666666666667
18,"U","LE3","T","4","mother","1","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","1","4","2","1",5,15.6666666666667
18,"U","LE3","A","4","mother","1","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","2","4","4",14,11
17,"U","LE3","T","4","father","2","1","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","1","1","5",0,10.6666666666667
17,"U","GT3","T","4","mother","2","3","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","3",0,13.6666666666667
17,"U","GT3","T","3","father","1","4","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","5","2","2","5",0,17.3333333333333
19,"U","GT3","T","3","other","1","2","1","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","4","4","3",20,14
18,"U","GT3","T","2","other","1","2","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","3","3",8,12.6666666666667
20,"U","GT3","A","3","other","1","1","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","5","5","3","5",0,17.6666666666667
19,"U","GT3","T","4","other","2","1","1","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","3","4","4",38,8.33333333333333
19,"R","GT3","T","3","father","1","2","1","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","4","5","3","5",0,13
19,"U","LE3","T","1","other","1","2","1","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","4","4","3","3",18,10.6666666666667
19,"U","LE3","T","1","other","1","2","1","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","4","2","4","3",0,6
19,"U","GT3","T","2","other","3","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","3","4","1","2",20,13
19,"U","GT3","T","1","other","1","2","1","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","4","5","2","4",3,11.6666666666667
19,"U","LE3","T","3","other","2","2","1","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","4","2","2","1",22,11.3333333333333
19,"U","GT3","T","1","other","1","3","2","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","4","1","2","3",14,13.6666666666667
19,"R","GT3","T","2","other","1","3","1","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","1","2","3",40,11.6666666666667
18,"U","GT3","T","2","mother","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","3","3","1",0,5.33333333333333
18,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","4","5",9,9.33333333333333
17,"R","GT3","T","3","father","1","3","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","4","3","4","5",0,10.6666666666667
18,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","5",2,11
17,"U","GT3","A","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","2","2","5",23,13
17,"U","GT3","T","2","mother","1","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","4","2","2","3",12,9.66666666666667
17,"R","LE3","T","2","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","3","2","3",3,11
17,"U","GT3","T","3","father","1","3","0","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","3","4","3","5",1,13.6666666666667
17,"U","LE3","T","0","father","2","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","3","3","3","2",0,15.3333333333333
18,"U","GT3","T","4","mother","1","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","3",3,10.6666666666667
17,"U","GT3","T","3","mother","1","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","4","3","5","5",3,15
17,"R","GT3","T","2","mother","4","1","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","5","4",8,10.3333333333333
17,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","4","4",7,9.33333333333333
17,"U","GT3","T","4","mother","2","3","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","4","3","3","4",4,14
18,"U","LE3","T","2","mother","1","4","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","5","5","5",2,8.33333333333333
17,"R","GT3","T","2","father","1","3","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","4","3","5",7,13.3333333333333
18,"U","GT3","T","3","mother","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","3","4","4",0,2.33333333333333
18,"U","LE3","T","2","other","1","2","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","4","3","3","2",0,5.33333333333333
18,"R","GT3","T","2","mother","2","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","4","4","4","4",0,6.33333333333333
17,"U","GT3","T","3","mother","1","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","5","5",16,15.3333333333333
19,"R","GT3","A","3","other","1","3","1","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","4","3","5",12,13.3333333333333
17,"U","GT3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","3","2","2",0,5
18,"U","LE3","T","3","mother","1","4","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","3","3","1",7,16
17,"R","GT3","A","3","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","2",4,9.66666666666667
19,"U","GT3","T","2","other","1","3","1","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","4","3",4,11.3333333333333
18,"U","GT3","T","4","father","1","2","1","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","2",0,6.66666666666667
18,"U","LE3","T","3","mother","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4","3","3","5",11,15.3333333333333
17,"U","GT3","A","2","father","1","2","1","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","3","3","1","4",0,5.66666666666667
18,"U","GT3","T","2","mother","1","3","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","3","3",4,10.3333333333333
18,"U","GT3","T","3","mother","1","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","5","4","3","1",7,13.3333333333333
18,"R","GT3","T","4","mother","1","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","5","3","2","4",9,15.6666666666667
18,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","4","5","5",0,9.66666666666667
17,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","4","3","4",0,14.3333333333333
18,"R","GT3","T","3","mother","2","1","1","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","2","5","5","5",10,12.3333333333333
19,"R","GT3","T","1","other","3","2","3","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","4","4","2",8,7.66666666666667
17,"U","GT3","T","3","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","5","4","3",2,13
18,"U","LE3","T","1","mother","1","1","1","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","4","3","3","3",7,7.66666666666667
19,"R","GT3","T","1","other","3","1","1","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","5",4,8
17,"R","GT3","T","4","mother","2","2","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","4","5","5","2",4,11.6666666666667
18,"U","GT3","T","3","father","1","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","5","3","4","5",0,9.33333333333333
17,"R","GT3","T","4","father","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","5",4,12.6666666666667
17,"U","LE3","A","3","mother","2","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","1","2","3","5",2,11.6666666666667
18,"U","LE3","T","1","father","2","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","3","3","2","3",4,10
18,"U","LE3","T","1","father","2","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","3","2","4",0,16.6666666666667
18,"R","LE3","A","1","mother","3","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","4","3","4","5",0,13
18,"R","LE3","T","1","mother","2","2","1","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","4","4","3","5",2,12.3333333333333
18,"U","GT3","T","3","mother","2","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","3","2","3",0,10.6666666666667
17,"U","LE3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","2","3","4","1",0,15.3333333333333
17,"R","GT3","T","1","father","2","2","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","3","2","2","3",0,11.6666666666667
18,"R","GT3","T","1","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","3","3","4","3",4,10
18,"U","LE3","T","4","mother","2","3","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","2","2","5",0,13
17,"R","GT3","T","1","mother","3","1","1","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","2","1","1",0,4.33333333333333
18,"U","GT3","T","2","father","2","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","2","3","4",0,10.3333333333333
18,"R","GT3","T","4","father","3","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","3","2","2","5",10,12.3333333333333
19,"U","LE3","T","3","other","2","2","2","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","3","2","2","3",4,7.66666666666667
18,"R","LE3","T","1","father","3","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","4","3","3","3",3,12.6666666666667
17,"U","GT3","T","2","mother","1","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","3","4","3","3",8,11.6666666666667
17,"R","GT3","T","1","mother","1","1","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","3","5","5","1",14,5.33333333333333
18,"R","LE3","T","4","mother","2","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","4","4","1",0,18.6666666666667
18,"R","GT3","T","1","mother","4","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","2","4",2,8.66666666666667
20,"U","GT3","T","4","other","2","3","2","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","5","4","3","3",4,14.6666666666667
18,"R","LE3","T","4","mother","1","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","3","2",4,9
18,"U","GT3","T","3","mother","1","2","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","1","3","1",0,15
17,"R","GT3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","4","5","4","1",17,10
18,"U","GT3","T","4","father","1","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","3","2","4","2",4,14.3333333333333
18,"R","GT3","T","2","mother","2","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","4","4","3","5",5,6.66666666666667
17,"U","GT3","T","2","father","2","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","3","3",2,10.6666666666667
19,"R","GT3","T","1","mother","2","1","1","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","4","3","2","5",0,3.66666666666667
18,"R","GT3","T","4","father","2","1","1","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","4","3","3",14,5.33333333333333
18,"R","GT3","T","2","mother","2","3","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","3","3","4",2,9.66666666666667
18,"R","GT3","T","4","mother","3","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","4","3","5",7,5.66666666666667
19,"R","GT3","T","2","mother","1","3","1","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","5","4","2","5",0,4
18,"U","LE3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","4","1",0,8
18,"U","GT3","T","1","mother","2","2","1","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","1","1","1","5",0,3.66666666666667
20,"U","LE3","A","2","other","1","2","2","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","5","4","4",11,9
17,"U","LE3","T","3","mother","2","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","2","4","5","2",3,15.3333333333333
21,"R","GT3","T","1","other","1","1","3","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","5","5","3","3",3,8.33333333333333
18,"R","LE3","T","3","mother","3","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","4","4","1","5",0,11
19,"U","LE3","T","1","father","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","3","2","3","5",5,8.66666666666667
